"Salary_Cap_Perc","fg","rookie_contract","bird_rights","age","fta","blk","g","US_Player","maximum_contract","ts_pct","drb","trb","pf","ast","pos_PG","usg_pct","bpm"
0.04416167,4.8,1,0,20,2.1,0.2,66,1,0,0.511,2.7,3.2,2.3,3.8,1,21.7,-2.6
0.047614308,6.4,1,0,22,4.5,0.2,72,1,0,0.523,2.9,3.5,2,4.9,1,26.8,-0.5
0.06777844,7.6,0,0,25,6.8,0.2,65,1,0,0.568,3.3,4.4,2.1,4.7,0,26.7,4.7
0.033520971,3.6,1,0,24,1.1,0.8,82,1,0,0.522,3.7,4.2,1.9,1.4,0,14.8,-1.3
0.035646217,3.2,1,0,25,1.6,0.5,67,1,0,0.54,2.7,3.2,1.6,0.9,0,15.9,-0.8
0.050938219,3.6,1,0,26,1.3,0.9,65,1,0,0.628,3.4,3.9,1,1.4,0,15.4,1.7
0.068913238,3,0,1,27,1.5,0,2,1,0,0.678,0.5,0.5,2.5,1,0,23.9,-1
0.068167488,0.8,0,1,28,0.1,0.2,38,1,0,0.428,1,1.2,0.8,0.6,0,12.3,-5.6
0.103986135,3.6,0,0,30,3.2,2.1,77,1,0,0.588,5.7,9.3,2.7,0.6,0,13.5,-0.1
0.131357246,2.2,0,0,32,1.8,1,54,1,0,0.52,3.4,6,2.2,0.4,0,12.8,-1.9
0.116984402,0.5,0,0,32,0.6,0.1,29,1,0,0.546,0.8,1,1.9,0.8,0,8.3,-4.4
0.023295793,0.8,0,0,33,0.3,0.1,56,1,0,0.672,0.9,1.1,1.5,0.7,0,9.5,1.2
0.023295793,0.3,0,0,34,0.1,0,44,1,0,0.373,0.7,0.8,0.9,0.4,0,11,-5.2
0.060658579,0.5,0,0,29,0.5,0.1,15,1,0,0.403,0.5,0.6,0.3,0.1,0,32.2,-11.3
0.019749449,1.8,0,0,30,0.6,0.3,40,1,0,0.534,1.9,2.4,1.9,0.4,0,20.5,-1.9
0.021073082,1,0,0,31,0.3,0.2,32,1,0,0.396,1.7,2,1.5,0.3,0,18.7,-7.6
0.008159396,2.7,1,0,27,1,0,78,1,0,0.509,1,1.2,1.4,2.8,1,21.6,-0.6
0.013443856,3.4,1,0,28,1.8,0.1,72,1,0,0.529,1.7,1.9,1.8,3.3,1,20,-1.7
0.059164523,0.6,0,0,31,0.1,0.1,52,1,0,0.445,0.8,0.9,1.1,0.5,0,10.4,-4.3
0.021177986,0.6,0,0,32,0,0.2,18,1,0,0.526,0.4,0.4,1,0.3,0,12.5,-3.8
0.023295793,0.5,0,0,33,0.2,0.2,28,1,0,0.49,0.5,0.8,0.3,0.5,0,15.5,1.6
0.038576776,6.9,1,0,21,6.2,1.7,82,1,0,0.57,5.4,8.6,3.1,2.3,0,23.6,1.2
0.041577424,7.9,1,0,22,6,1.5,82,1,0,0.549,3.5,6,2.9,1.6,0,27.3,0.6
0.235489456,7.7,0,1,24,5.3,2.1,74,1,0,0.567,4.1,6.9,2.1,0.9,0,28.6,3.2
