"Salary_Cap_Perc","pts","bird_rights","maximum_contract","age","gs","drb","three_p_pct","pf","mp","rookie_contract","super_max_contract","pos_C","pos_PF","fta","fga","US_Player","pos_PG","ast","ast_pct","trb_pct","stl","stl_pct","ft_pct","three_pa","tov_pct","usg_pct"
0.149504153,6,1,0,34,7,3.1,0.282,1.5,25.3,0,0,0,0,1.4,5,1,0,3.3,16.2,8.5,0.8,1.6,0.632,1.8,15.8,11.5
0.000139505,12,0,0,32,0,2.5,0.556,1.5,32,1,0,0,0,1.5,8.5,1,0,3.5,15.3,5,1.5,2.2,1,4.5,14.1,14.1
0.000748373,0,0,0,33,0,0.3,0,0,3.8,0,0,0,0,0,1.5,1,0,0,0,6.9,0.3,3.1,0,0.8,14.3,19.3
0.0056692,3.7,0,0,39,4,1,0.25,1.2,11.8,0,0,0,0,0.8,2.7,1,1,2.2,28.3,6.4,0.4,1.8,0.75,0.2,23.6,15.4
0.018407675,3.4,0,0,23,65,2.9,0.247,2.1,19.2,1,0,0,0,0.7,3,1,0,1,7.4,10.6,0.8,2.1,0.479,1.3,17.2,9
0.017297143,4.8,0,0,24,70,2.5,0.311,1.9,22.2,1,0,0,0,0.8,3.9,1,0,0.7,4,8.8,0.8,1.7,0.611,1.5,10.5,9.1
0.023188893,6.6,0,0,25,79,3.9,0.245,2.6,30.1,1,0,0,0,1.4,5.9,1,0,1,4.6,9.4,1.2,1.9,0.423,2.3,9.1,10.1
0.098412507,2.9,1,0,28,0,2.9,0.214,1.9,12.4,0,0,0,0,0.3,4.1,1,0,0.6,6.3,17.1,0.1,0.6,0.5,2,6.3,16.1
0.014847114,6.6,0,0,30,0,1.5,0.188,1.3,13.8,0,0,1,0,1.2,6.1,0,0,0.4,4.8,8.6,0.1,0.3,0.825,0.3,7.9,23.2
0.052742964,0.4,0,0,33,0,0.9,0,0.1,5.1,0,0,0,0,0.6,0.7,0,0,0.1,3.6,12.5,0.1,1.4,0.75,0,12.9,9.8
0.205707968,6.3,1,0,30,65,6,0,2.8,23.6,0,0,1,0,0.6,5.3,0,0,2.7,15.4,18.5,0.6,1.2,0.524,0,22.1,13.2
0.171428571,5.4,1,0,31,66,5.3,1,3.2,20.7,0,0,1,0,0.7,4,0,0,2.3,14.8,18.3,0.5,1.1,0.48,0,21.6,11.4
0.002572937,2.9,0,0,32,21,6,0,3.2,21.6,0,0,1,0,0.4,3,0,0,1.8,12.3,21.7,0.5,1.2,0.273,0,33.4,10.4
0.011152382,1.5,0,0,33,5,2.2,0,1.7,9,0,0,1,0,0.1,1,0,0,0.6,9.1,19.2,0.2,0.9,1,0,42.3,8.8
0.004779589,3.5,0,0,34,5,3.9,0,2,12.2,0,0,1,0,0.3,3.3,0,0,1,10.6,21.9,0.3,1.1,1,0,17.7,14.5
0.002865714,2.8,0,0,27,0,0.1,0.111,0.5,6.3,0,0,0,0,0.5,2.5,1,1,0.5,13.3,2.2,0.8,5.9,0.75,1.1,24.3,24.8
0.010037921,5.9,0,0,22,18,1.6,0.276,2.7,20.5,1,0,0,0,2.7,5,1,1,2.8,20,5.3,0.7,1.9,0.763,2.2,16,16.4
0.013246254,9.5,0,0,23,46,1.9,0.331,2.5,23.7,1,0,0,0,2.8,7.7,1,1,3.2,21.3,5.7,0.7,1.4,0.78,2.5,14,19.6
0.001963306,3.2,0,0,24,0,0.8,0.2,2,11,0,0,0,0,1.1,3.1,1,1,1.4,17.1,5.8,0.2,1.1,0.944,1.5,16.5,16.8
0.024511853,4.9,0,0,25,3,1.6,0.317,1.3,12.3,1,0,0,1,0.6,4.8,0,0,0.6,7.3,9.4,0.2,0.6,0.6,1,10.7,20.8
0.034008486,6.9,0,0,26,0,3,0.36,1.2,14.7,1,0,0,1,1.2,5.5,0,0,0.4,4.8,13.5,0.2,0.6,0.785,2,10.8,20.4
0.064678128,2.6,0,0,27,0,1.2,0.185,1.4,9,0,0,0,1,0.4,2.9,0,0,0.3,4.1,9.8,0.4,2.3,0.643,0.7,12.7,17
0.087380322,16.9,0,0,19,82,2.9,0.31,2.3,36.2,1,0,0,0,5.7,13.9,0,0,2.1,9.8,7.2,1,1.5,0.76,1.5,11.7,22.6
0.082266857,20.7,0,0,20,81,2.3,0.3,2,35.1,1,0,0,0,7,16,0,0,2,10.1,5.9,1,1.4,0.761,2.3,10.6,27.2
0.063802938,23.6,0,0,21,82,2.8,0.356,2.2,37.2,1,0,0,0,6.6,19.1,0,0,2.3,10.6,6.3,1,1.4,0.76,3.5,9.4,29
0.076436499,17.7,0,0,22,82,3.4,0.331,2,36.3,1,0,0,0,3.8,15.9,0,0,2,8.2,6.9,1.1,1.5,0.643,4.1,8.8,23.4
0.25,18.1,1,1,23,73,3.7,0.339,2.1,34.8,0,0,0,0,4.1,16.6,0,0,2.5,10.9,7.4,1,1.3,0.699,4.8,9.3,24.4
0.252012369,21.8,1,1,24,54,3.9,0.332,2.4,34.4,0,0,0,0,5,18.1,0,0,3.7,18.1,7.8,0.8,1.1,0.709,6.2,10.7,27.4
0.018018435,3.8,0,0,19,1,0.5,0.345,0.5,7.1,1,0,0,0,0.8,3.2,1,0,0.7,13.7,4.9,0.1,0.3,0.563,1.5,13.6,24.3
0.016602585,3.7,0,0,21,2,1.1,0,0.9,6.7,0,0,1,0,0.9,2.1,0,0,0.2,3.8,15.7,0.1,0.5,0.724,0,12.1,18.8
0.019169325,7.8,0,0,22,25,3.6,0,1.9,18.3,0,0,1,0,2.2,5.6,0,0,0.9,7.7,16.4,0.2,0.6,0.705,0,13.6,18.2
0.020907092,4.4,0,0,23,0,2.2,0,1.2,10,0,0,1,0,0.9,3.3,0,0,0.3,4.2,16.6,0.3,1.5,0.737,0,11.1,17.5
0.088225165,5.2,0,0,21,3,2.9,0.304,1.5,15.7,1,0,0,1,1.1,5.2,0,0,0.8,8.7,13.8,0.5,1.5,0.641,0.4,10,17.8
0.010788864,5,0,0,23,1,2.3,0.271,0.8,11.5,0,0,0,1,1.6,4,0,0,0.5,7.1,15.6,0.2,0.9,0.722,2.1,10,19.4
0.009290505,3.9,0,0,24,0,2.3,0.259,1.4,14.5,0,0,0,0,0,4.5,1,0,0.7,7.6,11,0.5,1.5,0,2.5,10.7,15.6
0.000132764,3,0,0,25,0,0,1,0,4,0,0,0,0,0,1,1,0,1,41.7,0,0,0,0,1,0,11.1
0.101010429,24.3,0,0,22,61,8.1,0.324,2.4,35.5,1,0,1,0,7,18.6,1,0,1.9,10,16.1,1.3,1.8,0.758,1.8,8.4,29.6
0.234927185,28,1,1,23,75,9.5,0.299,2.2,36.1,0,0,1,0,8.6,20.3,1,0,2.1,11.1,17.2,1.3,1.7,0.802,1.8,9.1,32.6
0.249676172,25.9,1,1,25,56,8.9,0.331,2.4,33,0,0,1,0,7.7,18.3,1,0,3.9,19,18.8,1.6,2.2,0.794,2.6,8.4,29.5
0.248240966,26.1,1,1,26,62,7,0.33,2.5,34.4,0,0,0,1,8.5,17.7,1,0,3.2,15.1,14.8,1.5,2,0.846,3.5,10.4,29.3
0.050741299,10.7,0,0,29,0,2.1,0.434,1.8,24.4,0,0,0,0,1.2,8.3,1,0,0.8,5.2,5.8,0.7,1.5,0.888,4.4,5.5,16.5
0.047771429,5.6,0,0,30,6,0.8,0.387,0.9,13.6,0,0,0,0,0.6,4.9,1,0,0.4,3.7,3.6,0.3,1.2,0.744,3,4.6,16.9
0.047569967,6.3,0,0,29,11,2.4,0.366,1.8,18.8,0,0,0,1,0.9,5.2,1,0,0.8,6.3,9,0.3,0.9,0.783,3.8,10.8,14.7
0.042857143,5.3,0,0,30,5,2.6,0.36,1.2,18.6,0,0,0,1,0.7,4.6,1,0,0.7,5.6,9.3,0.4,1,0.617,3.8,7.4,12.4
0.084977109,7.1,0,0,31,9,2.9,0.391,1.7,22.7,0,0,0,1,1.3,5.4,1,0,1.2,7.7,9.3,0.5,1.2,0.744,3.5,12.6,13.6
0.056445042,5,0,0,33,0,2.5,0.377,1.4,16.6,0,0,0,1,0.9,4,1,0,0.7,5.5,8.8,0.3,0.8,0.783,3.3,11.2,12.5
0.003982994,3.6,0,0,34,13,2.2,0.338,1.3,15.9,0,0,0,1,0.5,3.3,1,0,0.8,6,9.3,0.3,1,0.724,2.6,14.9,11.1
0.000132764,7.9,0,0,21,0,1.5,0.288,1,16.5,0,0,0,0,2.1,7.5,1,0,1.1,10.1,5.6,0.4,1.1,0.769,2.7,6.4,23.7
0.013246257,7.3,0,0,22,3,1.7,0.396,0.7,14.5,0,0,0,0,1.3,6.9,1,0,0.7,8.2,6.9,0.2,0.7,0.658,1.6,7.5,24.5
0.000132764,1.4,0,0,23,0,0.6,0.75,1.4,7.2,0,0,0,0,0.4,1.2,1,0,0.1,2.2,6.3,0.4,2.8,0.667,0.2,22.8,11.1
0.000465017,1,0,0,25,0,0.5,0,0.7,4.2,0,0,0,0,0.5,1.3,1,0,0.1,2.8,8,0.1,1.1,0.6,0.3,11,16.9
0.004417665,5.8,0,0,24,0,2.4,0,2.8,16.2,0,0,1,0,2.1,4.3,0,0,0.7,5.7,13.4,0.3,1,0.586,0.1,14.5,15.8
0.016573714,8.9,0,0,21,13,2,0.232,1.5,19.5,1,0,0,0,3.4,7.4,1,1,2.1,17.2,6.9,0.5,1.2,0.674,1.7,16.5,23.2
0.001015476,7.3,0,0,22,0,1.4,0.333,0.5,14.3,0,0,0,0,2.8,4.4,1,0,1.6,18.5,6.9,0.3,0.9,0.786,1,14.2,19.8
0.00068542,4.5,0,0,27,1,2.3,0,1,11.3,0,0,1,0,1.3,2.3,1,0,0.7,10.2,17.7,0.2,0.7,0.375,0,10.2,12.7
0.00467457,0.5,0,0,29,0,0.5,0,0.4,3.5,0,0,1,0,0,0.5,1,0,0.3,9.9,11.7,0,0,0,0,33.3,9.4
0.092857143,6.3,0,0,29,1,3,0,1.9,15.2,0,0,1,0,2,4.7,0,0,0.6,6.6,17,0.3,0.9,0.764,0,12.8,18.5
0.043676143,6,0,0,31,67,3.8,0.143,2.5,18.3,0,0,1,0,1,5.5,0,0,1.1,9.6,16,0.3,0.7,0.756,0.3,14.3,16.8
0.050983125,5.6,0,0,32,18,3,0.344,2.5,16.1,0,0,1,0,1.2,4.4,0,0,1.1,9.3,15.6,0.2,0.7,0.855,1.2,13.8,15.2
0.049965915,11.5,0,0,33,28,4,0.351,3.4,22.2,0,0,1,0,1.8,9.1,0,0,1.6,10.9,14.1,0.2,0.5,0.747,4,10.8,21.1
0.122889083,13.3,1,0,29,72,2.8,0.354,2.1,32.1,0,0,0,0,2.5,11.3,1,0,1.7,8.2,5.3,0.5,0.8,0.843,4.3,10.7,19
0.132776733,8.4,0,0,31,45,1.9,0.411,1.7,25.9,0,0,0,0,1.5,6.9,1,0,1.3,7.4,4.6,0.3,0.7,0.892,2.5,8.4,14.4
0.001983731,3.8,0,0,26,4,1.9,0.338,1.1,10.1,0,0,0,0,0.2,4.1,1,0,0.5,7.5,12.4,0.4,1.8,0.833,2.1,13.8,22.1
